NEWID,Age,Education,Income_AT,Expenses,Housing,Food,Transport,Entertainment,Apparel,Health Spending,Personal Insurance
3736872,57,12,28365,1883.333,661.667,736.6667,100,20,17,120,197.6667
3736882,52,15,30690,2359.833,1001,130,682,20,0,119.3333,223.1667
3736922,71,13,23208,3214,1044.333,823.3333,405,145,0,652,0
3736932,64,15,57862.6,3019.967,837.667,455,680,20,53,480,479.3
3736942,87,12,15333.6,1270,526,454.3333,0,43,0,246.6667,0
3736962,43,12,76835,5232.667,1453.833,1313.3333,897,398,200,425,535.5
3736972,44,13,35952.8,4743.267,2241,910,506,99,20,0,217.2667
3736992,43,15,104791,3500.667,314,613,1095,0,8.3333,60.6667,1318
3737032,50,12,46241.4,3298.683,782.333,498.3333,878,12,0,650,286.35
3737052,36,13,162674.8,8912.891,2263,1148.3333,1816.667,484,228,0,2072.8911
3737092,28,12,74732.8,4437.217,1582.667,260,1458,96,53.3333,351,516.2167
3737152,87,14,26496,4677.333,3842.333,325,0,0,30,0,0
3737163,19,13,2090,6447.783,0,388,0,0,0,121.3333,12.1167
3737182,32,12,12070.8,2289.967,1000,793.3333,420,0,0,0,76.6333
3737212,63,15,45012.8,3334.333,704,1096.3333,326,77,6.6667,650,34.3333
3737252,40,13,46018,4186.417,1140,671.6667,898,137,0,548,664.4166
3737263,20,13,4000,620.333,390,203.6667,10,0,16.6667,0,0
3737272,73,13,20340,783,566.333,216.6667,0,0,0,0,0
3737282,52,11,80570,3866.417,968.333,650,175,398,440,687.3333,471.75
3737302,45,13,70959,5602.65,2588.333,906.6667,328.333,0,67,0,992.3167
3737312,18,13,1458,431.583,10,82.3333,10,315,0,0,8.25
3737322,63,12,24336,1636.333,425,866.6667,151.667,178,3,2,0
3737332,66,13,40164.4,6929.617,4815.333,650,563.333,61,0,213,269.95
3737342,62,12,8950,733.333,358,134.3333,0,139,6.6667,0,0
3737352,43,12,540,1240.333,590,95.3333,360,120,50,25,0
3737412,25,12,30157.6,2119.067,1305,411.6667,88.333,0,60,6.6667,211.0667
3737434,21,14,16328,1713.083,611,613.3333,136.667,62,0,86.6667,108.4167
3737494,46,12,34867,1592.833,783,281.6667,262.333,0,40,18,121.1667
3737502,46,15,74952.8,8868.45,2506,1120,2846,155,0,226,678.7833
3737512,87,12,40152.2,2922.667,468.667,476.6667,55,0,0,1139,638.3333
3737532,60,12,88126,6904.25,2088,3466.6667,542,169,0,71.6667,541.9167
3737562,41,16,84401.2,5654,2333.333,911,350,311,0,1079.3333,596.6667
3737582,26,12,17235,3249.75,1100,455,1530,0,0,0,114.75
3737592,87,11,21208,3972.667,367,455,30,100,0,2929,0
3737602,74,15,149410.4,6225.45,482.333,1090,804.667,174,181,440,508.45
3737632,78,15,22303,2144,536.333,368.3333,564.333,135,0,20,0
